"","Species","Mass_g","Binomial","GBIF_ID"
"915","Cryptotis montivaga",11.29,"Cryptotis_montivaga","5219515"
"916","Cryptotis nelsoni",7,"Cryptotis_nelsoni","5219480"
"917","Cryptotis nigrescens",8.32,"Cryptotis_nigrescens","5219484"
"918","Cryptotis obscura",7,"Cryptotis_obscura","5219506"
"919","Cryptotis orophila",6.2,"Cryptotis_orophila","5219493"
"920","Cryptotis parva",6.2,"Cryptotis_parva","5219509"
"921","Cryptotis peregrina",7,"Cryptotis_peregrina","5219482"
"922","Cryptotis phillipsii",7,"Cryptotis_phillipsii","5219483"
"923","Cryptotis squamipes",11,"Cryptotis_squamipes","5219477"
"924","Cryptotis thomasi",11.77,"Cryptotis_thomasi","5219498"
"925","Cryptotis tropicalis",6.2,"Cryptotis_tropicalis","5219496"
"926","Ctenodactylus gundi",288.8,"Ctenodactylus_gundi","5219941"
"927","Ctenodactylus vali",288.41,"Ctenodactylus_vali","5219940"
"928","Ctenomys argentinus",221.3,"Ctenomys_argentinus","2439626"
"929","Ctenomys australis",340,"Ctenomys_australis","2439639"
"930","Ctenomys azarae",340,"Ctenomys_azarae","2439628"
"931","Ctenomys bergi",178.44,"Ctenomys_bergi","4263411"
"932","Ctenomys boliviensis",462.6,"Ctenomys_boliviensis","2439616"
"933","Ctenomys bonettoi",202.3,"Ctenomys_bonettoi","2439641"
"934","Ctenomys brasiliensis",462.6,"Ctenomys_brasiliensis","2439630"
"935","Ctenomys budini",172.9,"Ctenomys_budini","4263398"
"936","Ctenomys colburni",400,"Ctenomys_colburni","2439618"
"937","Ctenomys coludo",289.94,"Ctenomys_coludo","4263382"
"938","Ctenomys conoveri",859.99,"Ctenomys_conoveri","2439643"
"939","Ctenomys dorsalis",165.6,"Ctenomys_dorsalis","2439632"
"940","Ctenomys emilianus",285.29,"Ctenomys_emilianus","2439620"
"941","Ctenomys famosus",289.94,"Ctenomys_famosus","4263385"
"942","Ctenomys fochi",178.44,"Ctenomys_fochi","4263371"
"943","Ctenomys fodax",140.84,"Ctenomys_fodax","4263412"
"944","Ctenomys frater",172.9,"Ctenomys_frater","2439607"
"945","Ctenomys fulvus",289.94,"Ctenomys_fulvus","2439609"
"946","Ctenomys goodfellowi",462.6,"Ctenomys_goodfellowi","4263406"
"947","Ctenomys haigi",164,"Ctenomys_haigi","2439635"
"948","Ctenomys johannis",289.94,"Ctenomys_johannis","4263377"
"949","Ctenomys juris",178.44,"Ctenomys_juris","4263369"
"950","Ctenomys knighti",316,"Ctenomys_knighti","2439622"
"951","Ctenomys latro",185.22,"Ctenomys_latro","2439611"
"952","Ctenomys leucodon",243.6,"Ctenomys_leucodon","2439637"
"953","Ctenomys lewisi",117.2,"Ctenomys_lewisi","2439624"
"954","Ctenomys magellanicus",271.44,"Ctenomys_magellanicus","2439613"
"955","Ctenomys maulinus",178.44,"Ctenomys_maulinus","2439638"
"956","Ctenomys mendocinus",178.44,"Ctenomys_mendocinus","2439625"
"957","Ctenomys minutus",92,"Ctenomys_minutus","2439614"
"958","Ctenomys occultus",164.22,"Ctenomys_occultus","2439615"
"959","Ctenomys opimus",363.525,"Ctenomys_opimus","2439640"
"960","Ctenomys pearsoni",212,"Ctenomys_pearsoni","2439629"
"961","Ctenomys perrensi",400,"Ctenomys_perrensi","4263372"
"962","Ctenomys peruanus",490,"Ctenomys_peruanus","2439642"
"963","Ctenomys pontifex",400,"Ctenomys_pontifex","2439631"
"964","Ctenomys porteousi",192.4,"Ctenomys_porteousi","2439619"
"965","Ctenomys pundti",178.44,"Ctenomys_pundti","4263380"
"966","Ctenomys rionegrensis",92,"Ctenomys_rionegrensis","4263376"
"967","Ctenomys saltarius",230,"Ctenomys_saltarius","2439606"
"968","Ctenomys sericeus",400,"Ctenomys_sericeus","2439633"
"969","Ctenomys sociabilis",400,"Ctenomys_sociabilis","2439608"
"970","Ctenomys steinbachi",384.99,"Ctenomys_steinbachi","2439634"
"971","Ctenomys sylvanus",172.9,"Ctenomys_sylvanus","4263370"
"972","Ctenomys talarum",130.92,"Ctenomys_talarum","2439621"
"973","Ctenomys torquatus",242.245,"Ctenomys_torquatus","2439610"
"974","Ctenomys tuconax",248.99,"Ctenomys_tuconax","2439636"
"975","Ctenomys tucumanus",197.72,"Ctenomys_tucumanus","2439623"
"976","Ctenomys tulduco",289.94,"Ctenomys_tulduco","4263381"
"977","Ctenomys validus",232.6,"Ctenomys_validus","2439612"
"978","Ctenomys viperinus",316,"Ctenomys_viperinus","4263367"
"979","Cuniculus paca",9000,"Cuniculus_paca","4263039"
"980","Cuniculus taczanowskii",9000,"Cuniculus_taczanowskii","5706515"
"981","Cuon alpinus",15750,"Cuon_alpinus","2434317"
"982","Cyclopes didactylus",251.975,"Cyclopes_didactylus","2436326"
"983","Cynictis penicillata",598.5,"Cynictis_penicillata","2434174"
"984","Cynocephalus volans",1250,"Cynocephalus_volans","5218414"
"985","Cynogale bennettii",4123.285,"Cynogale_bennettii","2434758"
"986","Cynomops abrasus",35.39,"Cynomops_abrasus","7261913"
"987","Cynomops greenhalli",15.87,"Cynomops_greenhalli","4266508"
"988","Cynomops paranus",12.16,"Cynomops_paranus","4266510"
"989","Cynomops planirostris",12.84,"Cynomops_planirostris","4266507"
"990","Cynomys gunnisoni",807.3,"Cynomys_gunnisoni","2437236"
"991","Cynomys leucurus",918.63,"Cynomys_leucurus","2437233"
"992","Cynomys ludovicianus",1125,"Cynomys_ludovicianus","2437232"
"993","Cynomys mexicanus",864.04,"Cynomys_mexicanus","2437234"
"994","Cynomys parvidens",807.3,"Cynomys_parvidens","2437235"
"995","Cynopterus brachyotis",37.4,"Cynopterus_brachyotis","2432837"
"996","Cynopterus horsfieldii",56.955,"Cynopterus_horsfieldii","7261747"
"997","Cynopterus luzoniensis",37.2,"Cynopterus_luzoniensis","4265693"
"998","Cynopterus minutus",37.3,"Cynopterus_minutus","4265710"
"999","Cynopterus sphinx",37.4,"Cynopterus_sphinx","2432836"
"1000","Cynopterus titthaecheilus",41.055,"Cynopterus_titthaecheilus","2432833"
"1001","Cystophora cristata",245448.405,"Cystophora_cristata","5219378"
