Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Rodentia,Cricetidae,Arvicola_amphibius,European water vole,Arvicola_amphibius_CRICETIDAE_RODENTIA,Euarchontoglires,wild,15,15,0.138,53.13,15,0.138,56.76,15,0.138,17.61,15,0.138,39.16,15,0.138,109.89,"This study, Woodall (1989), Staaland et al. (1995)",0,0,0,0,0,0,0,0,20,0,0,20,80,100,Ref_1,ABC,Herb,Herb,51.2,51.2,39.14,1.03,348.9,467.63,0,0,1
Chiroptera,Hipposideridae,Asellia_tridens,Geoffroys trident lead-nosed bat,Asellia_tridens_HIPPOSIDERIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.013,11.70,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,17.61,17.61,9.2,23.65,151.4,1341.63,1,0,0
Eulipotyphla,Erinaceidae,Atelerix_albiventris,Four-toed hedgehog,Atelerix_albiventris_ERINACEIDAE_EULIPOTYPHLA,Laurasiatheria,various,20,,,,,,,,,,,,,21,0.319,75.83,"Girgiri et al. (2015), Price et al. (2016), This study",20,10,30,0,10,70,0,70,20,0,0,20,10,30,Ref_1,ABC,Car,Omni,0.04,0.04,71.5,25.04,764.21,1594.54,0,0,0
Primates,Atelidae,Ateles_paniscus,Guiana spider monkey,Ateles_paniscus_ATELIDAE_PRIMATES,Euarchontoglires,captive,1,1,8.070,210.62,1,8.070,72.60,1,8.070,12.90,1,8.070,59.70,1,8.070,283.22,McGrosky et al. (2019b),10,0,0,0,10,20,0,20,60,0,10,70,10,80,Ref_1,ABC,Herb,Omni,2.06,2.06,157.69,25.58,1456.6,1696.86,0,0,0
Cetartiodactyla,Cervidae,Axis_axis,Chital,Axis_axis_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,various,10,10,57.630,1054.30,10,57.630,629.50,10,57.630,33.35,10,57.630,596.15,10,57.630,1683.80,"McGrosky et al. (2019), Perez et al. (2015)",0,0,0,0,0,0,0,0,10,0,0,10,90,100,Ref_1,ABC,Herb,Herb,17.25,17.25,96.14,25.66,814.1,1480.62,0,0,1
Cetartiodactyla,Cervidae,Axis_porcinus,Hog deer,Axis_porcinus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,34.000,873.00,1,34.000,485.00,1,34.000,26.00,1,34.000,459.00,1,34.000,1358.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,10,0,0,10,90,100,Ref_1,ABC,Herb,Herb,20.57,20.57,136.98,21.35,979.62,1418.55,0,0,1
Cetartiodactyla,Suidae,Babyrousa_babyrussa,Hairy babirusa,Babyrousa_babyrussa_SUIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,57.000,989.00,1,57.000,399.00,1,57.000,12.00,1,57.000,387.00,1,57.000,1388.00,Schwarm et al. (2009),0,0,0,0,0,0,0,0,40,0,0,40,60,100,Ref_1,ABC,Herb,Herb,-2.73,2.73,281.24,22.30,,,0,0,0
Cetartiodactyla,Balaenopteridae,Balaenoptera_acutorostrata,Common minke whale,Balaenoptera_acutorostrata_BALAENOPTERIDAE_CETARTIODACTYLA,Laurasiatheria,wild,4,4,3408.750,2825.00,4,3408.75,302.00,4,3408.75,28.25,4,3408.75,273.75,4,3408.75,3127.00,Olsen et al. (1994),70,0,0,30,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,1,1
Cetartiodactyla,Balaenopteridae,Balaenoptera_bonaerensis,Antartic mink whale,Balaenoptera_bonaerensis_BALAENOPTERIDAE_CETARTIODACTYLA,Laurasiatheria,wild,1,1,2400.000,3540.00,1,2400.000,343.00,1,2400.000,39.00,1,2400.000,304.00,1,2400.000,3883.00,Perez et al. (2017),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_64,ABC,Car,Car,,,,,,,0,1,1
Rodentia,Batheryergidae,Bathyergus_suillus,Cape dune mole rat,Bathyergus_suillus_BATHYERGIDAE_RODENTIA,Euarchontoglires,various,13,13,0.662,46.28,13,0.662,68.72,13,0.662,17.71,13,0.662,50.99,13,0.662,121.29,"Kotzé et al. (2009), Kotzé et al. (2010)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-33.07,33.07,31.42,15.89,439.87,1200.41,0,0,0
Cetartiodactyla,Bovidae,Beatragus_hunteri,Hirola,Beatragus_hunteri_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild  ,1,1,130.000,1242.00,1,130.000,829.00,1,130.000,36.00,1,130.000,793.00,1,130.000,2071.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-0.57,0.57,42.28,27.22,643.41,1847.86,0,0,1
Cetartiodactyla,Bovidae,Bison_bonasus,European vison,Bison_bonasus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,2,2,575.000,3285.50,2,575.000,887.00,2,575.000,81.00,2,575.000,806.00,2,575.000,4172.50,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,1
Eulipotyphla,Soricidae,Blarina_brevicauda,Northern short-tailed shrew,Blarina_brevicauda_SORICIDAE_EULIPOTYPHLA,Laurasiatheria,wild,53,,,,,,,,,,,,,53,0.02,46.26,"Schieck and Millar (1985), This study",40,0,0,0,30,70,0,70,0,0,0,0,30,30,Ref_1,ABC,Car,Omni,44.24,44.24,64.11,7.09,613.55,695.57,0,0,0
