"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"295","Galago matschiei",192.2,"Mammalia","Primates","Galagidae","Galago","matschiei","Dusky Bushbaby",126.49,89.08874,0.607802875,12.2,285.185,1.5
"296","Galago moholi",174.792487925,"Mammalia","Primates","Galagidae","Galago","moholi","Moholi Bushbaby",126,90.46,0.549623546,12.1,323.23032,1.545
"297","Galago nyasae",180,"Mammalia","Primates","Galagidae","Galago","nyasae","Malawi Bushbaby",126,90.46,0.549623546,12.1,323.23032,1.545
"298","Galago senegalensis",187.025,"Mammalia","Primates","Galagidae","Galago","senegalensis","Senegal Bushbaby",126.49,89.08874,0.607802875,12.2,285.185,1.5
"299","Galago thomasi",63.8,"Mammalia","Primates","Galagidae","Galago","thomasi","Thomas's Bushbaby",111,45.654,0.999315537,9.89,345.24,1.29
"300","Galago zanzibaricus",171.5,"Mammalia","Primates","Galagidae","Galago","zanzibaricus","Zanzibar Bushbaby",126,89,0.599589322,13.125,323.75106,1.5
"301","Galea musteloides",351.68125,"Mammalia","Rodentia","Caviidae","Galea","musteloides","Common Yellow-toothed Cavy",54,38.65372,0.145242984,37.99,66,2.63
"302","Galea spixii",420.203333333333,"Mammalia","Rodentia","Caviidae","Galea","spixii","Spix's Yellow-toothed Cavy",53,42.045,0.145106092,36.81,80.735,2.4
"303","Galidia elegans",800,"Mammalia","Carnivora","Eupleridae","Galidia","elegans","Ring-tailed Mongoose",76.11,59.27,0.999315537,50,737.15992,1
"304","Gazella arabica",24124.67,"Mammalia","Artiodactyla","Bovidae","Gazella","arabica","Arabian Gazelle",169.43796,121.744,0.906228611,2250,476,1.5
"305","Gazella bennettii",22278.415,"Mammalia","Artiodactyla","Bovidae","Gazella","bennettii","Indian Gazelle",172,88,0.925188227,2200,485.11,1.22
"306","Gazella dorcas",26245.49,"Mammalia","Artiodactyla","Bovidae","Gazella","dorcas","Dorcas Gazelle",156,117.9395,0.962354552,2168.055,498.97,1.22
"307","Gazella gazella",27147.745,"Mammalia","Artiodactyla","Bovidae","Gazella","gazella","Mountain Gazelle",169.43796,121.744,0.906228611,2250,476,1.475
"308","Gazella saudiya",32185.735,"Mammalia","Artiodactyla","Bovidae","Gazella","saudiya","Saudi Gazelle",156,117.9395,0.962354552,2168.055,498.97,1.22
"309","Genetta genetta",1866.69,"Mammalia","Carnivora","Viverridae","Genetta","genetta","Common Genet",76.09,71.8,0.498973306,77.75,1479,2.29
"310","Genetta pardina",1820,"Mammalia","Carnivora","Viverridae","Genetta","pardina","Pardine Genet",70.61152,59.04584,0.832744695,71.5,1151.41,2.355
"311","Genetta poensis",1820,"Mammalia","Carnivora","Viverridae","Genetta","poensis","King Genet",70.61152,59.04584,0.832744695,71.5,1151.41,2.355
"312","Genetta tigrina",1774.75,"Mammalia","Carnivora","Viverridae","Genetta","tigrina","Cape Genet",70.61152,59.04584,0.832744695,71.5,1151.41,2.5
"313","Gerbilliscus brantsii",82.205,"Mammalia","Rodentia","Muridae","Gerbilliscus","brantsii","Highveld Gerbil",22.7335,27.02094,0.358658453,5.31,136.309,2.785
"314","Giraffa camelopardalis",825006.1483,"Mammalia","Artiodactyla","Giraffidae","Giraffa","camelopardalis","Giraffe",456.125,182.455,1.681492129,58500,1380.26878,1.12
"315","Glaucomys volans",64.5125,"Mammalia","Rodentia","Sciuridae","Glaucomys","volans","Southern Flying Squirrel",40,54.6315,0.343258042,3.55,329.92624,3.13
"316","Globicephala macrorhynchus",1708666.66666667,"Mammalia","Cetacea","Delphinidae","Globicephala","macrorhynchus","Short-finned Pilot Whale",452,730,2.997946612,60000,3470,1
"317","Gorilla beringei",139842,"Mammalia","Primates","Hominidae","Gorilla","beringei","Eastern Gorilla",257,1008.05,3.913658453,2077.5,3091.06,1
"318","Gorilla gorilla",131779.387222222,"Mammalia","Primates","Hominidae","Gorilla","gorilla","Western Gorilla",257,834,3.871047228,2072,2829,1.005
"319","Grammomys buntingi",43.7,"Mammalia","Rodentia","Muridae","Grammomys","buntingi","Bunting's Grammomys",24,24.95752,0.10403833,4.2,73.0464,3
"320","Grammomys cometes",44.35,"Mammalia","Rodentia","Muridae","Grammomys","cometes","Mozambique Grammomys",24,23.87,0.10403833,4.2,73.0464,2.95
"321","Grammomys dolichurus",54.5666666666667,"Mammalia","Rodentia","Muridae","Grammomys","dolichurus","Common Grammomys",24,24.95752,0.10403833,4.2,73.0464,3
"322","Gulo gulo",14473.8006325,"Mammalia","Carnivora","Mustelidae","Gulo","gulo","Wolverine",51.4381075,83.64,1.998973306,90.53,756.6,2.84
"323","Halichoerus grypus",206140.003333333,"Mammalia","Carnivora","Phocidae","Halichoerus","grypus","Gray Seal",291.225,18.78298,0.999315537,13995.35,1499.31336,1
"324","Hapalemur alaotrensis",1275.105,"Mammalia","Primates","Lemuridae","Hapalemur","alaotrensis","Bandro",141.24,147,0.911129363,45.2,880.51348,1.2
"325","Hapalemur griseus",1075.90333333333,"Mammalia","Primates","Lemuridae","Hapalemur","griseus","Gray Bamboo Lemur",141.24,147,0.911129363,45.2,880.51348,1.2
"326","Hapalemur occidentalis",1202.71,"Mammalia","Primates","Lemuridae","Hapalemur","occidentalis","Sambirano Bamboo Lemur",141.24,147,0.911129363,45.2,880.51348,1.2
"327","Hemiechinus auritus",363,"Mammalia","Erinaceomorpha","Erinaceidae","Hemiechinus","auritus","Long-eared Hedgehog",38.34936,36,0.999315537,10,213.026,4
"328","Hemiechinus collaris",342,"Mammalia","Erinaceomorpha","Erinaceidae","Hemiechinus","collaris","Indian Long-eared Hedgehog",38.41968,36,0.999315537,10,213.026,3.935
"329","Hemitragus jemlahicus",44465.3006,"Mammalia","Artiodactyla","Bovidae","Hemitragus","jemlahicus","Himalayan Tahr",183,151.13346,0.999315537,2000,638.732,1.005
"330","Herpestes javanicus",746.5,"Mammalia","Carnivora","Herpestidae","Herpestes","javanicus","Small Asian Mongoose",49,50,0.414893908,25.92,301,2.21
"331","Heterocephalus glaber",35.075,"Mammalia","Rodentia","Bathyergidae","Heterocephalus","glaber","Naked Mole-rat",70,35.80506,0.222039699,1.94,228,8.95
"332","Heterohyrax brucei",2078.13333333333,"Mammalia","Hyracoidea","Procaviidae","Heterohyrax","brucei","Yellow-spotted Rock Hyrax",228.21,129.04,0.999315537,225,498.708,1.89
"333","Hippopotamus amphibius",2744000,"Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","Common Hippopotamus",234.685,334.37,1.72421629,40000,1654.5,1
"334","Hippotragus equinus",239500,"Mammalia","Artiodactyla","Bovidae","Hippotragus","equinus","Roan Antelope",283.83176,182.808,0.887063655,15167,730,1
"335","Hippotragus leucophaeus",225000,"Mammalia","Artiodactyla","Bovidae","Hippotragus","leucophaeus","Blaaubok",283.83176,182.808,0.887063655,15167,730,1
"336","Hippotragus niger",225000,"Mammalia","Artiodactyla","Bovidae","Hippotragus","niger","Sable Antelope",271,213,0.999315537,16375,768,1
"337","Histriophoca fasciata",61125,"Mammalia","Carnivora","Phocidae","Histriophoca","fasciata","Ribbon Seal",299.18,25,0.999315537,10247.625,1095.75,1
"338","Homo sapiens",61651.25,"Mammalia","Primates","Hominidae","Homo","sapiens","Human",280,639,2.186338125,3312.5,4745,1
"339","Hyaena brunnea",42075.9766666667,"Mammalia","Carnivora","Hyaenidae","Hyaena","brunnea","Brown Hyena",93.74288,302.44,1.428186174,693.09,1000,2.3
"340","Hyaena hyaena",37342.6275,"Mammalia","Carnivora","Hyaenidae","Hyaena","hyaena","Striped Hyena",90.5,279,0.649212868,669.5,855.55596,2.5
"341","Hydrochoeris hydrochaeris",51572.455,"Mammalia","Rodentia","Caviidae","Hydrochoeris","hydrochaeris","Capybara",150.73,103,0.670773443,1500,457.7918,3.485
"342","Hydromys chrysogaster",736.02125,"Mammalia","Rodentia","Muridae","Hydromys","chrysogaster","Common Water Rat",36,30,0.165407255,24.39,163,3.8
"343","Hydrurga leptonyx",372743.821233333,"Mammalia","Carnivora","Phocidae","Hydrurga","leptonyx","Leopard seal",289.142,30.423,0.999315537,29999.99,1329.0956,0.98
"344","Hylobates agilis",5645.79,"Mammalia","Primates","Hylobatidae","Hylobates","agilis","Agile Gibbon",216.24344,600.50228,2.997946612,316.455,2849.06286,1
"345","Hylobates albibarbis",5829.08,"Mammalia","Primates","Hylobatidae","Hylobates","albibarbis","Bornean White-bearded Gibbon",216.24344,600.50228,2.997946612,316.455,2849.06286,1
"346","Hylobates lar",6303.10166666667,"Mammalia","Primates","Hylobatidae","Hylobates","lar","Lar Gibbon",216.24344,600.25114,2.845544148,316.455,2849.06286,1
"347","Hylobates moloch",6127.95,"Mammalia","Primates","Hylobatidae","Hylobates","moloch","Silvery Javan Gibbon",217,600.50228,2.345886379,316.455,2849.06286,1
"348","Hylobates muelleri",5837.405,"Mammalia","Primates","Hylobatidae","Hylobates","muelleri","Mueller's Bornean Gibbon",217,600.50228,2.825010267,316.455,2849.06286,1
"349","Hylobates pileatus",5695.9025,"Mammalia","Primates","Hylobatidae","Hylobates","pileatus","Pileated Gibbon",216.24344,600.50228,2.845544148,316.455,2555,1
"350","Hylochoerus meinertzhageni",200315.235,"Mammalia","Artiodactyla","Suidae","Hylochoerus","meinertzhageni","Giant Forest Hog",142.30702,65.6505,0.999315537,1250,527.11,4.35
"351","Hystrix africaeaustralis",18409.005,"Mammalia","Rodentia","Hystricidae","Hystrix","africaeaustralis","Cape Porcupine",93.49,77,1.032169747,331.15,438.45,2.1
"352","Ictonyx striatus",877.006666666667,"Mammalia","Carnivora","Mustelidae","Ictonyx","striatus","Striped Polecat",36.5232,79,0.999315537,13.69,304,2.17
"353","Indri indri",8241.74,"Mammalia","Primates","Indridae","Indri","indri","Indri",142.0573,324.08938,2.498288843,300,2263.773,1.005
"354","Isoodon auratus",460.166666666667,"Mammalia","Peramelemorphia","Peramelidae","Isoodon","auratus","Golden Bandicoot",12.5,59.99,0.272468804,0.345,171.1,2.6
"355","Isoodon macrourus",1502.042722,"Mammalia","Peramelemorphia","Peramelidae","Isoodon","macrourus","Northern Brown Bandicoot",12.255,61.495,0.162217659,0.17915,153.46,3.565
"356","Isoodon obesulus",710.60874625,"Mammalia","Peramelemorphia","Peramelidae","Isoodon","obesulus","Southern Brown Bandicoot",15,60.995,0.348733744,0.345,190.55,2.53
"357","Jaculus jaculus",60.475,"Mammalia","Rodentia","Dipodidae","Jaculus","jaculus","Lesser Egyptian Jerboa",38,51,0.249486653,2,326.88264,3.24
"358","Kerodon rupestris",894.125,"Mammalia","Rodentia","Caviidae","Kerodon","rupestris","Rock Cavy",75.89,34.95,0.235865845,80.33,94.96032,1.52
"359","Kobus ellipsiprymnus",152788.0876,"Mammalia","Artiodactyla","Bovidae","Kobus","ellipsiprymnus","Waterbuck",270,213,0.999315537,9000,771.12412,1.05
"360","Kobus vardonii",75748.965,"Mammalia","Artiodactyla","Bovidae","Kobus","vardonii","Puku",255.05368,191.74302,0.999315537,5390.615,403,1
"361","Lagenorhynchus cruciger",72400,"Mammalia","Cetacea","Delphinidae","Lagenorhynchus","cruciger","Hourglass Dolphin",365.256,365.28,2.383333333,5834.74,2207.29,1
"362","Lagothrix cana",6263.69,"Mammalia","Primates","Atelidae","Lagothrix","cana","Gray Woolly Monkey",223.99,352,1.74880219,300,2480.22964,1
"363","Lagothrix lagotricha",6597.3777255,"Mammalia","Primates","Atelidae","Lagothrix","lagotricha","Brown Woolly Monkey",223.99,352,1.74880219,300,2480.22964,1
"364","Lagothrix lugens",6263.69,"Mammalia","Primates","Atelidae","Lagothrix","lugens","Colombian Woolly Monkey",223.99,352,1.74880219,300,2480.22964,1
"365","Lagothrix poeppigii",6263.69,"Mammalia","Primates","Atelidae","Lagothrix","poeppigii","Silvery Woolly Monkey",223.99,352,1.74880219,300,2480.22964,1
"366","Lagurus lagurus",20.3,"Mammalia","Rodentia","Cricetidae","Lagurus","lagurus","Steppe Vole",20.08776,20.92,0.071868583,1.35,38,4.5
"367","Lama glama",126875,"Mammalia","Artiodactyla","Camelidae","Lama","glama","Guanaco",337.55018,213.026,1.499657769,9999.995,676.66,1
"368","Lasionycteris noctivagans",9.50333333333333,"Mammalia","Chiroptera","Vespertilionidae","Lasionycteris","noctivagans","Silver-haired Bat",54.275,35.995,0.999315537,1.795,153.34,1.885
"369","Lasiorhinus krefftii",29816.3,"Mammalia","Diprotodontia","Vombatidae","Lasiorhinus","krefftii","Northern Hairy-nosed Wombat",20.87,326.07,1.500342231,0.495,589.185,1
"370","Lasiorhinus latifrons",25833.0966625,"Mammalia","Diprotodontia","Vombatidae","Lasiorhinus","latifrons","Southern Hairy-nosed Wombat",20.87,319.035,0.999315537,0.495,589.185,1
"371","Lemmus lemmus",72.2025,"Mammalia","Rodentia","Cricetidae","Lemmus","lemmus","Norway Lemming",20.11,15.218,0.064339493,3.89,24,5.12
"372","Lemniscomys striatus",42.2416666666667,"Mammalia","Rodentia","Muridae","Lemniscomys","striatus","Typical Lemniscomys",25.15,30,0.060232717,1.7,167.70236,4.54
"373","Lemur catta",2388.5,"Mammalia","Primates","Lemuridae","Lemur","catta","Ring-tailed Lemur",134.838125,152,1.140876112,70.6,674.1455,1.105
"374","Leontopithecus caissara",629.255,"Mammalia","Primates","Cebidae","Leontopithecus","caissara","Superagui Lion Tamarin",132.3966,130.8748,0.508555784,55.07,654.10218,1.95
"375","Leontopithecus chrysomelas",558.83,"Mammalia","Primates","Cebidae","Leontopithecus","chrysomelas","Golden-headed Lion Tamarin",132.3966,130.8748,0.508555784,55.07,654.10218,1.95
"376","Leontopithecus chrysopygus",612.25,"Mammalia","Primates","Cebidae","Leontopithecus","chrysopygus","Black Lion Tamarin",132.3966,130.8748,0.508555784,55.07,654.10218,1.95
"377","Leontopithecus rosalia",642.370048675,"Mammalia","Primates","Cebidae","Leontopithecus","rosalia","Golden Lion Tamarin",132.3966,130.8748,0.508555784,55.07,654.10218,1.95
"378","Leopardus geoffroyi",4000,"Mammalia","Carnivora","Felidae","Leopardus","geoffroyi","Geoffroy's Cat",74.7841,68.2405,0.657084189,89.69,479,2.02
"379","Leopardus pardalis",9921.951859,"Mammalia","Carnivora","Felidae","Leopardus","pardalis","Ocelot",80.35104,106.18,1.112799452,254.4,663.5048,1.66
"380","Leptailurus serval",9759.24,"Mammalia","Carnivora","Felidae","Leptailurus","serval","Serval",71.82896,127.8312,0.490759754,254,821,2.35
"381","Leptonychotes weddellii",409031.0555,"Mammalia","Carnivora","Phocidae","Leptonychotes","weddellii","Weddell Seal",312.01,43.35,0.999315537,27395.84,1532.00018,1
"382","Lepus americanus",1598.40015925,"Mammalia","Lagomorpha","Leporidae","Lepus","americanus","Snowshoe Hare",36.85096,21.53388,0.101300479,65.9,259.435506,3.41
"383","Lepus arcticus",3090.61903866667,"Mammalia","Lagomorpha","Leporidae","Lepus","arcticus","Arctic Hare",50.2194,23.13136,0.136892539,107.93,308.92008,3.96
"384","Lepus capensis",2200.166389,"Mammalia","Lagomorpha","Leporidae","Lepus","capensis","Cape Hare",42.60456,30.25044,0.107049966,116.245,200.04564,2.51
"385","Lepus corsicanus",3673.33,"Mammalia","Lagomorpha","Leporidae","Lepus","corsicanus","Corsican Hare",42,28.80492,0.107049966,119.67,227.66128,2.44
"386","Lepus europaeus",3945.27666666667,"Mammalia","Lagomorpha","Leporidae","Lepus","europaeus","European Hare",42,28.80492,0.107049966,119.67,227.66128,2.44
"387","Lepus granatensis",2323.94,"Mammalia","Lagomorpha","Leporidae","Lepus","granatensis","Granada Hare",42.60456,30.25044,0.107049966,116.245,200.04564,2.44
"388","Lepus habessinicus",2047.11,"Mammalia","Lagomorpha","Leporidae","Lepus","habessinicus","Abyssinian Hare",42.60456,30.25044,0.107049966,116.245,200.04564,2.51
"389","Lepus othus",3787.1291665,"Mammalia","Lagomorpha","Leporidae","Lepus","othus","Alaskan Hare",50,36.06068,0.136892539,107.93,266,3.96
"390","Lepus saxatilis",2686,"Mammalia","Lagomorpha","Leporidae","Lepus","saxatilis","Scrub Hare",42,28.80492,0.107049966,118.4,227.66128,2.14
"391","Lepus starcki",2358,"Mammalia","Lagomorpha","Leporidae","Lepus","starcki","Ethiopian Highland Hare",42.60456,30.25044,0.107049966,116.245,200.04564,2.51
"392","Lepus tibetanus",2078.555,"Mammalia","Lagomorpha","Leporidae","Lepus","tibetanus","Desert Hare",43.21912,30.25044,0.107049966,114.09,227.66128,2.755
"393","Lepus timidus",3107.05375,"Mammalia","Lagomorpha","Leporidae","Lepus","timidus","Mountain Hare",50.1,23.06568,0.136892539,107.93,265.85314,3.16
"394","Lepus tolai",2078.555,"Mammalia","Lagomorpha","Leporidae","Lepus","tolai","Tolai Hare",43.21912,30.25044,0.107049966,114.09,227.66128,2.755
"395","Lobodon carcinophaga",238333.33,"Mammalia","Carnivora","Phocidae","Lobodon","carcinophaga","Crabeater Seal",269.81,28,1.74880219,22333.33,1461,1
"396","Lontra canadensis",7229.14,"Mammalia","Carnivora","Mustelidae","Lontra","canadensis","North American River Otter",61.17636,122,0.999315537,140,730,2.67
"397","Lophocebus albigena",8545,"Mammalia","Primates","Cercopithecidae","Lophocebus","albigena","Gray-cheeked Mangabey",181.70292,233,1.853730322,462.5,1752.50488,1
"398","Lophocebus aterrimus",6768.75,"Mammalia","Primates","Cercopithecidae","Lophocebus","aterrimus","Black Crested Mangabey",181.70292,233,1.853730322,462.5,1752.50488,1
"399","Lophocebus opdenboschi",6768.75,"Mammalia","Primates","Cercopithecidae","Lophocebus","opdenboschi","Opdenbosch's Mangabey",181.70292,233,1.853730322,462.5,1752.50488,1
"400","Loris lydekkerianus",249.22,"Mammalia","Primates","Lorisidae","Loris","lydekkerianus","Gray Slender Loris",167.61208,158.745,0.644079398,11.67,380,1.37
"401","Loris tardigradus",251.6368764,"Mammalia","Primates","Lorisidae","Loris","tardigradus","Red Slender Loris",167.61208,158.745,0.644079398,11.67,380,1.37
"402","Loxodonta africana",4707500,"Mammalia","Proboscidea","Elephantidae","Loxodonta","africana","African Bush Elephant",669.68,1088.8,4.673511294,105000,4253.80718,1
"403","Loxodonta cyclotis",4630000,"Mammalia","Proboscidea","Elephantidae","Loxodonta","cyclotis","African Forest Elephant",669.68,1088.8,4.83504449,105000,4253.80718,1
"404","Lutra lutra",7827.33625,"Mammalia","Carnivora","Mustelidae","Lutra","lutra","European Otter",62.635,57.8284,0.999315537,110.5,548,2.035
"405","Lutra nippon",7809.345,"Mammalia","Carnivora","Mustelidae","Lutra","nippon","Japanese Otter",62.635,57.8284,0.999315537,110.5,548,2.035
"406","Lycalopex culpaeus",11104.5,"Mammalia","Carnivora","Canidae","Lycalopex","culpaeus","Culpeo",60.56764,60.872,0.999315537,167.99,365.232,4
"407","Lycalopex vetulus",5397,"Mammalia","Carnivora","Canidae","Lycalopex","vetulus","Hoary Fox",55.6533,90.654,0.666201232,140,276.05452,3.545
"408","Lycaon pictus",20766.6654166667,"Mammalia","Carnivora","Canidae","Lycaon","pictus","African wild dog",72,88.92,0.982710472,318,703.7545,7.495
"409","Lynx canadensis",9960.94,"Mammalia","Carnivora","Felidae","Lynx","canadensis","Canadian Lynx",63,152,0.999315537,204,535.6736,3.19
"410","Lynx lynx",22383.3333333333,"Mammalia","Carnivora","Felidae","Lynx","lynx","Eurasian Lynx",66.495,87,0.999315537,258,639,2.25
"411","Lynx rufus",9000,"Mammalia","Carnivora","Felidae","Lynx","rufus","Bobcat",66,81.85,0.999315537,269.5,639,2.53
"412","Macaca arctoides",9076.02890933333,"Mammalia","Primates","Cercopithecidae","Macaca","arctoides","Stump-tailed Macaque",177,340.8832,1.509377139,486.2,1453.62336,1
"413","Macaca cyclopis",6032.805,"Mammalia","Primates","Cercopithecidae","Macaca","cyclopis","Formosan Rock Macaque",162.7072,207.16766,1.265790554,400.43,1650.01,1
"414","Macaca fascicularis",5764.77333333333,"Mammalia","Primates","Cercopithecidae","Macaca","fascicularis","Crab-eating Macaque",165,262.765,1.135455168,324.38,1278.75,1
"415","Macaca fuscata",9093.99949366667,"Mammalia","Primates","Cercopithecidae","Macaca","fuscata","Japanese Macaque",174,366,1.369828884,501.57,1483,1.415
"416","Macaca hecki",7386,"Mammalia","Primates","Cercopithecidae","Macaca","hecki","Heck's Macaque",172,344.72388,1.478439425,461,1490,1
"417","Macaca leonina",7603.39,"Mammalia","Primates","Cercopithecidae","Macaca","leonina","Northern Pig-tailed Macaque",172,324,1.108925394,468.2,1226.61352,1
"418","Macaca maura",6169.79666666667,"Mammalia","Primates","Cercopithecidae","Macaca","maura","Moor Macaque",172,344.72388,1.478439425,461,1490,1
"419","Macaca mulatta",7172.66666666667,"Mammalia","Primates","Cercopithecidae","Macaca","mulatta","Rhesus Monkey",165,292,1.135523614,473.54,1231,1
"420","Macaca nemestrina",7819.62003266667,"Mammalia","Primates","Cercopithecidae","Macaca","nemestrina","Southern Pig-tailed Macaque",172,324,1.108925394,468.2,1226.61352,1
"421","Macaca nigra",7864.065,"Mammalia","Primates","Cercopithecidae","Macaca","nigra","Celebes Crested Macaque",175.96004,365,1.47871321,459.385,1706.92978,1
"422","Macaca nigrescens",7662.195,"Mammalia","Primates","Cercopithecidae","Macaca","nigrescens","Gorontalo Macaque",175.96004,365,1.47871321,459.385,1706.92978,1
"423","Macaca ochreata",5620.15,"Mammalia","Primates","Cercopithecidae","Macaca","ochreata","Booted Macaque",172,344.72388,1.478439425,461,1490,1
"424","Macaca pagensis",7151.5,"Mammalia","Primates","Cercopithecidae","Macaca","pagensis","Pagai Island Macaque",172,308.3,1.108925394,468.2,1227.12,1
"425","Macaca radiata",6754.915,"Mammalia","Primates","Cercopithecidae","Macaca","radiata","Bonnet Macaque",161.56,326.27392,0.999315537,391.33,1380.2726,1
"426","Macaca siberu",7151.5,"Mammalia","Primates","Cercopithecidae","Macaca","siberu","Siberut Macaque",172,308.3,1.108925394,468.2,1227.12,1
"427","Macaca silenus",7794.16666666667,"Mammalia","Primates","Cercopithecidae","Macaca","silenus","Lion-tailed Macaque",176,365,1.387255305,416.11,1523.48888,1
"428","Macaca sinica",4283.5,"Mammalia","Primates","Cercopithecidae","Macaca","sinica","Toque Macaque",166.45,396.29054,1.498288843,446,1643.544,1
"429","Macaca sylvanus",10001.5555555556,"Mammalia","Primates","Cercopithecidae","Macaca","sylvanus","Barbary Macaque",164.42,213,1.09063655,450,1457.50858,1.5
"430","Macaca thibetana",10168.335,"Mammalia","Primates","Cercopithecidae","Macaca","thibetana","Milne-Edwards' Macaque",174.58606,414.725,1.763175907,494.49,1453.62336,1
"431","Macropus agilis",15135.9583333333,"Mammalia","Diprotodontia","Macropodidae","Macropus","agilis","Agile Wallaby",29.755,267.87,0.598220397,0.632,384.885,1.005
"432","Macropus antilopinus",39182.6333333333,"Mammalia","Diprotodontia","Macropodidae","Macropus","antilopinus","Antilopine Kangaroo",34,395.49,0.73100616,0.7015,758.15,1
"433","Macropus eugenii",5367.2360445,"Mammalia","Diprotodontia","Macropodidae","Macropus","eugenii","Tammar Wallaby",28.945,320,0.999315537,0.4345,343.92,1.005
"434","Macropus fuliginosus",25232.3317766667,"Mammalia","Diprotodontia","Macropodidae","Macropus","fuliginosus","Western Grey Kangaroo",30.4,529.335,1.036303901,0.897165,689.42,1
"435","Macropus giganteus",33393.0165388889,"Mammalia","Diprotodontia","Macropodidae","Macropus","giganteus","Eastern Grey Kangaroo",36.28,414.91,0.964804928,0.869335,671.93,1
"436","Macropus parma",4131.65888888889,"Mammalia","Diprotodontia","Macropodidae","Macropus","parma","Parma Wallaby",34.33,297.665,0.583162218,0.50335,512.105,0.95
"437","Macropus robustus",28649.475,"Mammalia","Diprotodontia","Macropodidae","Macropus","robustus","Wallaroo",33.295,358.595,0.715318275,0.7015,630.65,1
"438","Macropus rufogriseus",15664.1104088889,"Mammalia","Diprotodontia","Macropodidae","Macropus","rufogriseus","Red-necked Wallaby",29.5,306.61,0.756837782,0.564,440.095,1.005
"439","Macropus rufus",41907.29875,"Mammalia","Diprotodontia","Macropodidae","Macropus","rufus","Red Kangaroo",33,360,0.656399726,0.784,517,1
"440","Madoqua kirkii",4952.6,"Mammalia","Artiodactyla","Bovidae","Madoqua","kirkii","Kirk's Dikdik",172,71,0.58384668,625.82,233.47,1
"441","Mandrillus leucophaeus",17583.8833333333,"Mammalia","Primates","Cercopithecidae","Mandrillus","leucophaeus","Drill",179.22,486.976,1.316125941,772,1730.2866,1
"442","Mandrillus sphinx",23000,"Mammalia","Primates","Cercopithecidae","Mandrillus","sphinx","Mandrill",173.99,354,1.442354552,613,1326.65978,1.045
"443","Manis temminckii",8408.435,"Mammalia","Pholidota","Manidae","Manis","temminckii","Ground Pangolin",139.95934,47.44006,0.999315537,341.48,755.15,1
"444","Manis tricuspis",2134.655,"Mammalia","Pholidota","Manidae","Manis","tricuspis","Tree Pangolin",124.297,162.41294,0.749486653,114.77,742.807,1
"445","Marmosa mexicana",58.5,"Mammalia","Didelphimorphia","Didelphidae","Marmosa","mexicana","Mexican Mouse Opossum",22,154,0.380561259,0.31,406.92,5.8
"446","Marmosa murina",272,"Mammalia","Didelphimorphia","Didelphidae","Marmosa","murina","Linnaeus's Mouse Opossum",30,154,0.380561259,0.31,406.92,5.5
"447","Marmosa quichua",518,"Mammalia","Didelphimorphia","Didelphidae","Marmosa","quichua","Quechuan Mouse Opossum",30,154,0.380561259,0.31,406.92,5.5
"448","Marmosa robinsoni",95.2664394025,"Mammalia","Didelphimorphia","Didelphidae","Marmosa","robinsoni","Robinson's Mouse Opossum",13.915,66.315,0.366872005,0.09,266.41,9.75
"449","Marmota baibacina",3500,"Mammalia","Rodentia","Sciuridae","Marmota","baibacina","Gray Marmot",40,47,2.498288843,29.87,913.08,5.39
"450","Marmota camtschatica",3500,"Mammalia","Rodentia","Sciuridae","Marmota","camtschatica","Black-capped Marmot",35,47,2.500342231,31.495,868.1023,4.55
"451","Marmota flaviventris",3503.4325,"Mammalia","Rodentia","Sciuridae","Marmota","flaviventris","Yellow-bellied Marmot",30.195,26.37902,1.251540041,33.8,816.59788,4.44
"452","Marmota marmota",3791.66666666667,"Mammalia","Rodentia","Sciuridae","Marmota","marmota","Alpine Marmot",35.41506,48.2,2.500342231,29.74,827.69,4.19
"453","Marmota menzbieri",2943.025,"Mammalia","Rodentia","Sciuridae","Marmota","menzbieri","Menzbier's Marmot",35.41506,48.2,2.500342231,29.74,870.385,4
"454","Marmota sibirica",8000,"Mammalia","Rodentia","Sciuridae","Marmota","sibirica","Tarbagan Marmot",41,37.5,1.998631075,35.5,1095.696,4.665
"455","Martes americana",826.875,"Mammalia","Carnivora","Mustelidae","Martes","americana","American Marten",28,45.73,0.999315537,31.3,456.25,2.73
"456","Martes flavigula",2500,"Mammalia","Carnivora","Mustelidae","Martes","flavigula","Yellow-throated Marten",149.65,89.49,0.499657769,57.5,1262.74,2.5
"457","Martes foina",1700,"Mammalia","Carnivora","Mustelidae","Martes","foina","Beech Marten",30,66,0.999315537,30,548,3.78
"458","Martes martes",1204.99875,"Mammalia","Carnivora","Mustelidae","Martes","martes","European Pine Marten",30.63,56.91532,0.999315537,30,508.47,3.8
"459","Martes pennanti",3175,"Mammalia","Carnivora","Mustelidae","Martes","pennanti","Fisher",40.47988,76.76,0.999315537,34.78,413.84,2.92
"460","Mastomys natalensis",42.5875,"Mammalia","Rodentia","Muridae","Mastomys","natalensis","Natal Mastomys",23.53786,20.50042,0.087255305,2.07,72.19886,8.595
"461","Megaptera novaeangliae",34144211.6133333,"Mammalia","Cetacea","Balaenopteridae","Megaptera","novaeangliae","Humpback Whale",348.83674,290.32944,1.898699521,1330000,1643,1
