"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"86","Balaenoptera musculus",144066666.666667,"Mammalia","Cetacea","Balaenopteridae","Balaenoptera","musculus","Blue Whale",326.97,212.36,2.375427789,2250000,1959.8,1
"87","Balaenoptera physalus",54044444.4444444,"Mammalia","Cetacea","Balaenopteridae","Balaenoptera","physalus","Fin Whale",342,216.917,1.898699521,1580000,2311.41804,1
"88","Bandicota bengalensis",173.415,"Mammalia","Rodentia","Muridae","Bandicota","bengalensis","Lesser Bandicoot Rat",19.18452,29.77646,0.169472964,4.64,71.3268,7.625
"89","Bandicota indica",200,"Mammalia","Rodentia","Muridae","Bandicota","indica","Greater Bandicoot Rat",22,26.73748,0.098562628,4.55,115.77776,6.12
"90","Bassariscus astutus",984.29,"Mammalia","Carnivora","Procyonidae","Bassariscus","astutus","Ringtail",54.23,53.84,0.999315537,28.58,300,3
"91","Beamys hindei",88.735,"Mammalia","Rodentia","Nesomyidae","Beamys","hindei","Hinde's Pouched Rat",24.02594,40.24584,0.169746749,3.2,194.8083,3.875
"92","Bettongia gaimardi",1428.783967,"Mammalia","Diprotodontia","Potoroidae","Bettongia","gaimardi","Eastern Bettong",21.14,121.32,0.291581109,0.3,303.62,1
"93","Bettongia lesueur",1373.5701185,"Mammalia","Diprotodontia","Potoroidae","Bettongia","lesueur","Boodie",21.28,164.53,0.327173169,0.31,250.53,1
"94","Bettongia penicillata",1199.72291725,"Mammalia","Diprotodontia","Potoroidae","Bettongia","penicillata","Woylie",19.175,150,0.27926078,0.285,189.205,1
"95","Bettongia tropica",1184.35,"Mammalia","Diprotodontia","Potoroidae","Bettongia","tropica","Northern Bettong",19.44,150,0.27926078,0.285,198.41,1
"96","Bison bison",603592.716733333,"Mammalia","Artiodactyla","Bovidae","Bison","bison","American Bison",274,273.16,1.493155373,20000,912,1
"97","Bison bonasus",646525.69,"Mammalia","Artiodactyla","Bovidae","Bison","bonasus","European Bison",274,273.16,1.493155373,20000,912,1
"98","Bos frontalis",820857.175,"Mammalia","Artiodactyla","Bovidae","Bos","frontalis","Gaur",274.76636,137,1.419603012,23000,600.485,1.17
"99","Bos taurus",553874.79988,"Mammalia","Artiodactyla","Bovidae","Bos","taurus","Aurochs",277,182.64,1,10433,548,1
"100","Bradypus variegatus",3884.39333333333,"Mammalia","Pilosa","Bradypodidae","Bradypus","variegatus","Brown-throated Sloth",170.84,35,0.999315537,280.905,1138.91512,1
